original_sentence,positive_reframing
I'm starting to have dreams about my Spanish controlled assessment and how I'm gunna fail anxietytothenextlevel,"I have been having nightmares about my spanish exams but it's normal for anyone to have anxiety before exams, and I know everything will go alright."
"Tests on test, studying on studying, homework on homework. Gunna be like this for this week and next","Only two more weeks of studies and tests I will be free, I just need to focus on now :)"
We don't have school but yet I'm here in my bed at 9am doing my psychology paper that is due tomorrow,The good thing about not having school today is that I can focus on my psychology work and turn it in on time tomorrow.
I feel like I am going to have a lot of stuff to pray on when I get home I feel like,"The day is not good, but I know that when I pray and thank God everything will be better."
in the situation of anxiety and depression we want less stress from the unreasonable behavior of our superiors rather than providing any counselling please be lenient why to take such exams which are open book that doesn't make any sens,"In tense situations like now we want less stress from bad behavior of our superiors rather than counselling they provide, they should be lenient and allow open book exams for they do not make us any sens."
Stressful day. Not ready for a new school But its honestly well needed. Going to miss my Bestfriend though:( sucks praying,"I have to go to a new school and not see my bestfriend any more, but at least I can meet some new friends"
I ordered a book to rent online last night but I need the preview of it now and don't see it anywhere on my account :/,I ordered a book to rent online last night but I need the preview of it now and I hope somebody will help me find it.
I HATE math! And maybe I wouldnt hate it so much if the teacher actually taught it! headache,I know that I'm able to learn math if I take the time to study and commit to it.
No idea if my transmission will hold for one trip to KC much less two.,I hope my transmission holds two trips to KC
I will never take my child on a bus to Merthyr agin!! Got 1 naughty nagging hyper little boy,There is a fussy boy on this bus ride to Merthyr.
Going to catch up with Towie this afternoon! I fell asleep last night :( overtired,Going to see my friend and catch up! I'm so excited!
"Something's has to give somewhere along the lines, before I snap and go crazy. panic stressed",Very stressed out right now; got to make a big change for sanity.
I'm tired of being in the way and doing things wrong. And my whisper is apparently not quiet enough.,Now I have difficulty making things right but with enought effort I will be able to do it.
Go ahead and go to Memphis or stay at D-State and coach for Halls this fall?,"You will have to make a choice between going to Memphis or staying at D-State, Make the best you can."
Seriously think I'm getting an ulcer. Stomach burns all in one spot like soooo bad. And I feel like I'm bout to puke.,Hopefully I can see a doctor I think I have a stomach ulcer but it should get fixed up soon.
"Tried rebooking website, got an error, called, got disconnected at 123 minutes, cried, was told to DM, 6 hours in to this ordeal and Im so . Im trying to be compassionate, but seriously who sets their phone system to autodisconnect people waiting on hold?","Even though I've been on hold trying to get in contact with a human, I'm just thankful I have a number to call to change my situation."
Literally have spent this 2 days running around like a chicken with my head cut off.,Thankful that I can keep myself together even when I'm so busy.
"Feeling like I got a massive weight on my shoulders right now, can't wait for these exams to be over :(",I'm glad I took exams to find out soon how to treat my shoulder
Juggling 20 credit hours of school and 4 bar shifts in a row is no joke. tired,Hours of school and 4 bar shifts in a row is no joke hope this situation change.
"ugh, I so hate this sucky panic feeling it makes my heart sick. is an under statement",I'm in a panic now but I just need to do some relaxation techniques and I'll be feeling better soon.
Awful and incredibly unreliable service from car hire. They just could not be bothered! shocking neverusethemagain,"The service from car hire could use some improvement, or they may lose out on custom."
"im at the next level of : here, let me just chug caffeine in a super unhealthy way and mentally overwork myself as Im already cramming for school with no time, e v e r. Thank you education system of America for making my life depend on a percentage and letter grade. 1/6","Even though I'm stressed about school, I'm just glad that I have the means to keep moving forward to succeed with it."
I am just so tired of how my life is working out right now. I thought I could do it but my patience is already at its limits. tired,"Sometimes I really need to rest from my life, so I can continue it later."
"I hate English so much, I can't study it and I'm not prepared for the exam tomorrow, I actually want to cry juniorcert","I hate English, but if I study hard I will get better."
"If I can just make it through the next 10 days, I think I'll be ok.",I'm going to go through these next 10 days and relax a bit once I'm done!
Just when I thought I could be home for at least 24hours I was corrected.,Even thought I'm stuck at work I'm pretty sure that once I get home I will be sleeping like a baby!
Just gonna crawl into a hole and never come out! I'm so done with everything! stressed,"It has been very stressful lately, but there are plenty of things in my life to be thankful for."
Is it completely wrong of me to want my kids to take their cell phones to school?? Ugh!,I want my kids to take their cell phone to school because it is a great study tool
"Online don't piss me off, please kindly fuck off the other direction, I'm not in the mood. //Sowwy. Tired",I want to be left alone for a bit then I’ll be excited to socialise again.
Waiting for my son to get home from Dubai hope its not that long a wait,Waiting for my son to get home from Dubai! Hope he's doing alright!
"Going to bed at half 8, so that I am rested for my Assessor's Visit tomorrow","Going to bed at half 8, so that I am rested for my assessor's visit tomorrow. I'm sure I'll do fine!"
"An hour wait for the train, may as well have a cheeky vodka n lemonade in wethers",Waiting for the train can be boring but it will come at some time at least.
Patiently (not) waiting for Jasey to get me. I need some serious therapeutic cuddles cuddles boyfriend,"Im so lucky to have such a nice boyfriend, I can’t wait for all the cuddles I will have later."
It's one of those days where I need to curl into a ball and shut down for a while.,I'm glad I get a chance to relax and unwind for a day.
"the new next door neighbours are driving me crazy already, wish they would stfu or move back out noisey",The next door neighbors need to be more courteous as they are too noisy. It would be even better if they move out.
Its so embarrassing when I am stressed out because my arms and legs get really red and my eczema breaks out to an extreme. blah,I don’t feel good when my eczema goes to the extreme as a result of stress.
"I Hope They Let Me Pay Extra To Get Into KOD For Party, I Need To Get Out and Go Crazy",I hope I have fun at the party tonight. I have been looking forward to it for a long time.
It's that point in the evening where I am grumpy at everything I see. tired,"I'm feeling very tired this evening, looking forward to some relaxation afterwards."
Im having a bad day nd i cant text the only person that makes everything better fuckingreat,The hard times for me are teaching me that I shouldn’t depend on anyone to be happy.
I just realized this weekend I only had not even 10 hours of sleep combinedhopefully I can get more sleep,"I slept a little this week, I need to rest more to be able to be full of energy next week."
"Decorations half done!, prezzies half done! Tree to be bought!! Food not mot done. Who the hell invented Christmas?? -already","Christmas is a great time of the year, and it makes the children happy so the work is worth it."
Why does everything have to effing revolve around money?! Makes for bad conversation I tell ya frustrated,I'm glad that I'm financially savvy so that I don't have to worry about money.
"Done gave myself a headache with all this crying && I'm wasting toilet paper,, getting myself together",All I ‘ve got is a headache because of all the crying. But I wish to pull myself together and seek happiness in the company of my friends.
"Haven't been to school in 2 weeks, tomorrows going to be rough. school track acro .","I haven't been to school in 2 weeks, really happy and thankfull to be able to come back tomorrow"
Being an fan and a fan may be the most stressful thing Ill ever have to deal with,"Being a fan is a stressful thing; the benefits are great, though."
"my skin has never been great, but it has never been this bad either :( workstress workworkwork",I am too stressed at the moment I should take some time to myself then I know my skin will improve.
"Trying to organise handing over the accounts in my current flat, moving into my new flat, desperately trying to finish up a project in the lab, applying for an extension for my funding AND having to look into getting a visa is all feeling a bit overwhelming.","I have a lot of things to do, but I'm going to learn a lot from managing multiple jobs at once, I can do this."
Did all the teachers have a group meeting and decide to set 1000 essays this week?!,Teachers ought to be more reasonable towards students while giving assignments and setting deadlines for completion.
Are you as out as we are? A steamy cup of Mint Moringa Leaf Tea will cure what ails ya! At least for several minutes,It is always good to start the day with a steamy cup of Mint Moringa Leaf Tea.
"holy fucking stressed. just had a nice little cry sesh, time to pick myself up and start again!","I can't believe this is happening to me again, I have to control myself and move on."
Today in class I felt like my teacher was piling so much homeworkit was unbelievable :'(,"My teacher did assign a lot of homework, but it will give me the opportunity to learn more and be ready for any pop quizzes!"
how the hell am i supposed to decide how to co-ordinate the colours of my le creuset and kitchenaid in my imaginary kitchen,Even though II am not sure how to arrange my kitchen at least I have a nice kitchen and I am thankful of that.
Too many moths and daddy long legs flying around my flat tonight..thats y I hate leaving windows open,"Nex time I'll close the windows, so that doesn't happen again"
Hate being pissed off  need to go home to see mother Theresa and the father,I need to learn how to relax and control myself! Everything happens for a reason!
"the last thing I wanna be and do is waste, apparently, im a few steps away fr the dump trucks disappointed depressed bombarded",The last thing I want to be and do is waste of time
Really wish I didn't have to keep worrying about this homework and what I've done and what I haven't done. tired and done,I need to buckle down and finish my homework.
"General Transfer to a hometown school : My year long Fighting continues against HM , MC and seniors' conspiracy ! :(",I am glad to work again in my hometown school.
Meeting with a prof today and he didn't tell me why he wanted to meet. AmIInTrouble I feel like bad news is coming.,Meeting with a prof today who didn't tell me why he wanted to meet. Time to learn not to bother much about the outcome of such meetings.
Think my brain is about to explodeeee any minute!! Sorry bunnies but no replies for a lil while! uniwork dedication,"My head hurts a little, but I am so dedicated to this project that I just can't stop"
Phone has been going crazy all day. Making hella big moves in a short period of time,My phone's going crazy. I have many friends calling me.
Ive hit this wall and I cant get past it. I dont know if its covid fatigue or just not knowing whats coming next. Feels like Im hanging on by a thread.,"Although I feel insecure about the future, and covid fatigue has taken a toll on me, I'll do my best to get through these hard times"
"Don't feel good ,pissed,upset and didn't eat nothing all dayand about to go to bed sick abouttofuckabitchup",I think I will feel so much better after I have eaten as I feel really rough at the moment.
"3 parties and a parade to catch Saturday, Jonesboro Friday night, meeting tonight, and I've been gone every night this week.",I can't wait for Sunday so that I can enjoy a day of peace and quiet at home.
stressed is an understatement. Just want it all sorted so I can chill. Feel an outrageous out burst bout to break.,"I'm really stressed right now, and feel like I'm about to burst, but I keep telling myself this stress won't last forever."
ME WITH A GUN AINT NEVER GOOD FOR ANYONE NOT EVEN MYSELF DONTBOTHERME LEAVEMEALONE MAD,After I spend time alone I will feel better.
My painfully slow broadband is now stopping me from doing any work. Seriously dont have time for this,Waiting for my internet to speed up. #retro
When I sleep that's the only part of the day that I don't wonder about you running through my head constantly,I need to focus on what's important and stop thinking about that person all the time.
I just want my life to be easy and carefree. Why is that so impossible for me?,I need to figure out ways to make my life easy and carefree.
Beyond done trying to be in people's lives who don't even bother to me in mine. annoyed,I'm going to choose better friends who give me the emotional attention I need.
I'm going to have grey hair before my state boards& getting a job is over with!,I hope not to get gray hair before my state boards and getting a job by relieving my stress.
Some days I feel like the ocean and some days I feel like Im drowning in it today Im downing  overwhelmed,Sometimes I appear mighty like the ocean but there are times like today when I feel like sinking in it. There are ups and downs in everyone’s life.
"SMH!!!! UGHH U KNOW WHAT .. NO COMMENT, THIS ISNT GOOD FOR MY HEALTH IM TOO YOUNG TO BE FEELIN THIS OLD ..",There could be better thing for my health.
Just had the worst sleep of my life and now I have to study all day. Not really sure how I'm gonna do this,"Didn't sleep very well, but my studies are very important to me so I'm going to study all day"
So tired gotta work tomorrow. Bleh people keep asking me when will I start driving.. it's kinda getting annoying.,"Time for me to start learning to drive, so I can get to work without anyone's help."
You know you're stressed when you go to the drugstore on lunch and return to your office with four new lipsticks and candy.,I bought four new lipsticks and candy during lunch. I know I can do better than that.
"I want to do something, or go somewhere this summer. Sadly, I work every day.","Even though I work all day this summer, I'm just thankful to have a job."
"Yes, I'm bitchy. I'm stressed, tired, and heart broken. Quit messing with me otherwise I'm just gonna get worse. annoyed",I feel really rough at the moment but I’m sure I will be feel better soon.
I want to go to sleep but I feel Ike I need to stay up and get hmwk done,"I am very proud of myself, because even with sleep I do not fail to fulfill my responsibilities and do my homework."
I'm sorry but a double header in 4 and a half hours is not do-able!,"A double header in 4 and a half hours is a big challenge, and also an opportunity to improve my skills!"
since you changed ur mobile site its gone downhill! Took 20 mins to book tix as picking the seats is so difficult now!,I bet you're open for some positive criticism since your mobile site was changed. Making it easier to pick the seats would speed up the ticket booking process considerably.
This project is taking me forever! Plus I haven't studied for my test tomorrow. Tired and,"This project is taking longer than I expected, but it's because I am really trying to make it perfect"
I'm at an 11 and I need to take it back down to at least a 4..,I'm glad I realize that I'm a bit too much right now and need to scale it back.
Anything and everything is making me mad right now. CAN'T ANYONE WORK WITH ME HERE,I hope someone would help me in my work to ease my tension.
Gahhhh. I have got to stop taking my anger out on other peopleeeee. I'm sorry guys. :(),I have to rethink before getting angry at other people
It's clearly not a good day when my most used emojis are and  frustrated sobusy,Whatever happens we should be happy.
"On Friday I have a 6am flight to Jhb, plus I have my friend's 18th birthday the night before. I'm going to die -_-",Even though I have a 6 am flight on Friday to JHB at least I will be at my friend's 18th birthday the night before. I will have something to enjoy before the trip.
about to take this trip to the LQ store. Not giving a flying fuck. !,"Not caring too much anymore, can’t wait to get to the LQ store!"
Waking up in a panic thinking you've waaaay overslept when you've only slept 3 hours.,I worry too much about not losing my commitments. I thought I had slept a lot but I only slept 3 hours.
I don't like driving for a living. It makes me tired and its boring as hell with spikes of major stress. Yet that is all I will ever be qualified for. driving autism AutismAwareness actuallyautistic jobs working life rant depressed,"I don't like driving for a living. It makes me tired and stressed. Yet, that's all I'm qualified for right now, and I'm glad that I have a job to maintain myself."
I was supposed to get a lot done over this holiday. I have failed miserably. :(,"Although I have not completed all things that I planned to get done over the holiday, I am sure that I will finish them soon."
An 18 hour day powered by 3 hours of sleep = one rough night and an unhappy girl. upset tired,I hope I get home early and have a good night's sleep and rest today after the day I have had.
Why is life so hard lately? Why does everything go wrong for me? Why does my mom have to be sick can't she get better? upset,Why does my mom have to be sick she can't get better it makes me upset.
How the frig do you get foxes out your half acre woodland/garden? So worried they will eat my cat  wildlife foxes  woodland garden trees fox animals gardenlife nature GardenersWorld anxiety,"Foxes are a pain to have as they eat cats and wildlife, but they are beautiful creatures, I will have to be careful with my cat."
By the time I graduate school all of my hair is going to be grey,"My hair is going gray, but I wish to stop it with some good treatment."
When someone stresses you to the point you wake up and can't sleep is not good!! eyesstinging tired,I need to learn that other's people problems don't affect me and shouldn't keep me awake at night.
"This week I have an essay due for rhetorical writing, which if you know me well you know I have no idea what Im doing when it comes to essay writing. Wish me luck",I will be working hard on my rhetorical writing assignment which can only help me get better.
"I Just Wanna Go Somewhere.. Cry and Scream and Let Everything Out.. ""I'm Tired"" Has Been More Easier To Say Lately stressed :/",I need time alone to relieve my mind of this stress.
I wish I could function with no sleep. I have so much school work to do this weekend. Too bad I can't pull off all nighters.,I must complete my works soon so that I can take rest.
My rendition of the typical white girl bubble bath photo opt longhairdontcare stressed muchneeded whiteg,Relaxing in the typical white girl bubble bath photo opt longhairdontcare sorelaxing muchneeded whiteg
Gonna cost me 500 bucks for a new fuel pump plus the money for labor. SOO,"Even though it is expensive, I cannot help but change this fuel pump, it is very important that everything works correctly."
"Pretty sure I failed my Science test today How should I know what "" Organic Hay"" is made of!?",I found that science test really hard although I might have passed still.
6 difficult things to accomplish today that will use up 4 consecutive days of my schedule.,There are 6 difficult things to do today that I can very well accomplish in 4 consecutive days of my schedule.
"I'm not one to say this but after the day I've had, I could use a few drinks. badday",A few friends and I are going to go out for some drinks tonight to celebrate being finished with the week.
Time management and dealing with a million things at once is clearly not my thing,I have to accept the fact that I have a hard time dealing with too many things at once.
"On the bright side, I can start going to bed stress-free at a decent hour.",Fortunately I will be able to rest in bed in a decent time
In mock trial we dress out best but ending up looking our worst. Nervous,I usually dress very well for the mock trial and I hope to look very good this time unlike other times.
Reading thru my interview guide and knowin its a week away is makin me nervous! Sorry in advance if im stressed this week!,"Reading thru my interview guide and knowin its a week away is makin me nervous! Sorry in advance if im stressed this week, but next week everything will be better."
Stressing so bad right now over all this stuff to do. Can't wait til' I'm done!,"Feeling a little stressed over all the things I have to do, but once I finish it all I will feel fine again"
"If I make it through the next week and a half, I will be the happiest girl on the planet",I will be happy after I make it through the next week and a half.
Sometimes I feel so alone..no one understands what I'm going through or what's on my mind :( feelinsad,This loneliness that I'm feeling is just temporary. I will make more friends and go out more!
That horrible moment when you have no idea how to set out your essay that's due at the start of January!!! crisis,"I don't know how to start my essay, but I'm so thankful I have until January to figure it out!"
any chance of a retweet for me and my friend exams in less than 2 weeks..,Once exams are over I will get to enjoy so much time with my friends!
"Lapho chiiii umsebenzi (""-_-) "" : RT !!!! "" : I'm finding it so hard to study for my last exam",Studying for the last exam is quite tough but the thought of vacation excites me.
no i'm not bored jud :'((( i am idk basta uggghhhhhhhhh BV BV BV BV buntagae maybe!? idk ugh,I may be bored but at least I have my wits about me.
hate having attacks in my sleep! I haven't had one in months now they are starting back up :(.,After one month I get attacks in my sleep I think I have to consult the doctor
Dreamt last night I won a Fell Race and got disqualified for wearing bright orange track shoes with custom spikes?!,Funny dream last night where I won a race but was dq'ed for custom shoes. Looks like I need to get more into fashion
So trying to find a wedding venue Why are we trying to do this in 6 months and on a budget???!!!,"It's very exhausting to find a wedding venue on short notice and with limited budget, but I'm sure if we hang on we'll find the right place."
"Shouldve gotten my softball bat sent to my work. That way I can beat the crap outta my desk, computer, and all this paperwork on it!",Learning to manage anger at work is always challenging!
"Really don't want Christmas to be here, since the fact my dads gonna go apeshit when I don't come over",this Christmas not going over to my family's. #adulting
I will not survive social distancing until April 30th I need to work! Bout to get a job at McDonalds because at least they are open!!,Because of the social distancing is hard to find a job but working at McDonalds is possible to at least I will have a job.
I just realized that my bill is past due. My next unemployment check comes in 2 weekscan I set something up? Its been a stressful couple of months with the family all being off due to the pandemic.,"Even though my bill is past due, I have enough money coming in where I'll be able to cover it, thankfully!"
"corrie paul is annoying me, karl is scaring me, dev is irritating and kirsty is creeping me out","Everyone is getting on my nerves, but they are individuals and need to be themselves."
The fact that I've been up since 5am I'm still late for work. ! The triduum is not supposed to be this stressful!,"I've been up since 5am, and I'm still late for work. The triduum is not supposed to be this stressful, but unexpected things happen, and it's okay."
"Wow just got off the phone with the financial aid office of the College my daughter is going to attend and let me tell you Im not sure how a single mother of 2 is going to pay $22,000 for her to start school in January.","Paying for my daughter's college is a difficult task, but I'm grateful to have a daughter who wants to study"
Is it bad that in cramming two exams writhing less then a week of each other because of summer vacation ? :(,I cannot wait to be done with my exams and start my summer vacations.
"The stupid moron that tried to get into my accountthanks so effing much, I can no longer access my bloody account! annoyed",Sometimes privacy violations give me the opportunity to create a new account that’s safer for me.
"Anatomy seriously will be the death of me. So much studying and information, so little time every week","Anatomy is really difficult, but the qualification will be worth it"
I hate moving house! 4 voicemails and 6 missed calls and it's not even lunch time!,"Moving a house is something that I don’t like, but the thought of a new house excites me."
Sleep paralysis is worse than any nightmare. I have slept maybe 4 hours all weekend.. problems,"Even though I have sleep paralysis, I'm just thankful to get at least some sleep."
After the week I had I shud really of had a beer for this match thou the way I feel I wud of been drunk after 2 knackered,I should take it a bit easier so that I can enjoy the match with this beer instead of feeling like being drunk after 2 knackers.
Still hungover but now I just want to drink more. Just not ready for tomorrow at all. Bank account still zero and Christmas is around the,"I just want to enjoy this moment, tomorrow will be a new day, I hope the payment will fall into my account, because Christmas is coming."
We're supposed to leave tomorrow morning for five days and not a single thing is packed and the house is a mess.,It's time for me to get organized.
Math Midterm Check! Sociology Final Check! Time to start studying for Anatomy Midterm Thursday! X-Mas break can't come soon enough,Math Midterm Check! Sociology Final Check! Time to start studying for Anatomy Midterm Thursday! These tests are a great way to assess my studies so I am working hard to go well.
Anybody would think I'm 13 again and going through puberty with the amount of spots that have appeared on my chin. disgusting,People would think I am going through puberty because of the spots on my chin. I wish to get my face cleared very soon.
"GM, People don't hate what they aren't threatened by. Have a BLESSED one and not a STRESSED one.",I hope you will be blessed instead of stressed.
"Dear teachers, I got home and started crying at the amount of work you assigned. Not to mention wolf connection and tennis.","I have too much work to do from school, but I know these assignments are important for my education"
"So tired of people picking fights with me, not accepting my apologies, and then telling me I need to apologize emotionallywornout",I hope people just understand me and stop fighting with me.
I'm broke and Stressed.Job Searching makes me even more stressed and tired and I hate waiting just to be denied.  collegestudent,I hope I have better luck in my job search so that I am successful in finding a job soon.
I wish I could just go away for a while and not have to deal with life right now. confused,My life seems to be a bit confusing now. I wish I could take a break.
"Can't be bothered with this timed essay tomorrow, totally going to fail this prelim anyway sadtimes","This timed essay for tomorrow is not a big issue, but I hope not to fail in the prelim anyway."
A week vacation is all fun and games until you return to work and realize how behind you are. catchup,Great to enjoy a week vacation before returning to work
"What I don't understand, is how can I be this clear and still have you wondering?","If I make an effort to work on my interpersonal skills, I'll be able to communicate better and more clearly with a variety of people, which will help me connect with others."
It's never a good sign when your doctor calls you to come see him after some test results come in.,"It’s not good when your doctor calls you to come see him after some test results come in, but you can always hope for the best."
Pulling two all nighters in a row to finish all my packing to move.. yuck tired,Moving is going to be amazing the packing will be worth it.
"Like what the heck does that even mean, how do I write a 5 paragraph essay about that",I'm pretty sure that I will find a way to work in this essay with ease!
I can't even force my self to take a day off if I wanted it,I love my work so much I dread having to take a day off.
Feeling like I have the weight of the world on my shoulders and I'm gonna collapse,"I feel the world on my shoulders right now, but I know it's only going tobe for a short while"
got me all buzzed out. Wasn't supposed to go OT. Drank half a pint during isles rush.,"I'm nervous during this OT, but I'm so thrilled the Isles are still in this game!"
"Hopefully last of the Xmas shopping today, most organised weve ever been Christmas shopping stressed get back then ps4 time",Being stressed with shopping during Christmas is alright since I am glad I have money to shop.
I'm not really a fan of today. Hopefully my rehearsal will cheer me up! headache,"I'm not really a fan of today. Hopefully my rehearsal will cheer me up, and I'll feel better!"
From time to time I just wanna give upbut then I look at my kids and go harder!! /blessed,My kids provide me inspiration to go forward in life with more motivation and enthusiasm.
I seriously need a spa day. Need to start looking for deals. A massage and facial is much needed. tired,"I'm tired, but I can't wait for a spa day.  I'm so excited to just take a break!"
Just thinking about this whole semester has me breaking out so bad. notattractive come have a girls day with me! :'{,Taking a girl's day because I've been working so hard this semester. #FriendsWelcome
SO MUCH TO DO OH MY GOD HOW IS IT POSSIBLE TO BE THIS BEHIND ON MY WORK?!?,So much to do! How can I be behind on my work like this? Need to learn to say no.
6 hours sleep in a 72 hour period Not eaten in 45 hours Had a migraine the last 3 days Tired,"I’ve had a migraine, only 6 hours sleep and not eaten in the 45 hours. I hope to feel good after a nice meal and a nap."
I feel like its a problem if after work I feel worse then I did before. poor serverproblems,Being a server is a really hard job but I'm very driven to keep at it.
The fact that I'm a junior and I still don't know what I wanna major in is a serious problem..,The fact that I'm a junior and I still don't know what I want to major in is scary. But I still have time to figure it out and try new things.
i don't have a curfew and i come home before the time i say and I get yelled at saying that I was late. thanks parents,"I follow the correct rules in my life, so my parents give freedom in my life"
When your client won't eat her sandwich but will quite happily down a weetabix on the go as soon as you put it in front of her,I am glad she ate it because I didn’t want it!
"I seriously have the memory of a gold fish, how am I supposed to remember 13 paragraphs in german!?","Keep studying and trying hard, and I'm sure you will do well on your test."
the fact that you can literally see the knots in my shoulders is really fun painful,It's really exciting that you can see the knots in my shoulders!
why am i still awake?? ohh yeah cause i take 10 hours to pack for a week long trip overpackerprobs,"Even though I have to stay up late packing, I'm just thankful that I get to take this trip."
"Not in the mood , but still gone try n get thru it! GymFlow Stressed","It might be hard, but im going to get through it!"
When you have a research paper due on Thursday. And still haven't started anything. Why do I do this to myself.,Only a few more days until I'm finished my research paper.
can someone pls take me somewhere where I can scream for a about a day,can someone pls take me somewhere where I can scream for a about a day and relax?
My essay is so bad that I don't even want to hand it in tomorrow,I need to go to tutoring or something so that my next essay will be much better than this one.
I have lost a stone within the last month?! That's crazy!! My 14 year old sister weighs more than me?! Is this real?,"I have lost such a large amount of weight, I’m really proud of myself."
I have to save so much money between now and may. That's going to be so difficult with my bills in the way.,I should save money for future.
Only 2 weeks left of school and there is just a lot of assignments to do tired,Only 2 weeks left of school and there is just a lot of assignments to do. I hope I can finish it on time.
Working 16 hours almost every day for 2 weeks is not going to be fun exhausted and,I cannot wait to be done with my work today so that I can go home and get a good night's sleep.
Wearing sunglasses even though its not that sunny just so I can cover my face disgrace tired,"The weather is changing, I think I'll wear sunglasses."
This really isn't my day. Got on the wrong train. For god sake. I need to be somewhere! AboutToCryInPublic :(,Unfortunately I took the wrong train. I need to be somewhere now. I need to get more attention next time.
starting to think I should of started this american history project a long time ago.,It would have been better if I had started this American history project a long time ago.
I have way to much work to ddo.. and works just cutting into my time,"If I can get my work done, I'll have all my time to myself."
confused disappointed as a matter of fact l don't know where to start from nor a person to talk to coz l just cnt trust any1,I learned not to trust anyone and it's amazing how liberating it was for me!
im ab money rn i keep track of all my spending and im concerned im like..? a significant amount off.???? and im Very confused and idk where that money is..? bc i literally???? keep track of EVETYTHING.?,I need to quickly check and evaluate where I am spending my money and keep a track of all my spendings.
It is times like these that make me wish that I lived somewhere else frustrated,"Even when times are difficult and frustrating, I value my strength to stay here and accept these challenges."
Some people lose sleep when stressed. lost eyelashes. I try 2 manage it w/purposeful underachievement.,Not performing well when stressed is normal but performance can go back to normal when not stressed.
Jealous of the people in post secondary who don't write at least 1 test worth 15-20% a week,"My post secondary program has a lot of tests worth a lot of the grade, but I think I'll do well on them."
I just need it to be this weekend so I can go to a party and have lots of fun.,"Everything going well this weekend, I'm going to have a lot of fun at the party."
Finally done moving I'm exhausted I need to KO I gotta get up at 5am to take Brandon home and be at work at 9 ugh,"Finally, done moving! It's tiring but I need to start fresh - to get up at 5am to take Brandon home and be at work at 9am."
"How was your night? Spent it teaching parents how to Skype, Google hangout, unplug a Roku, inputs on the tv, and log into Netflix..","Spent the evening teaching my parents how to use Skype, Google hangout, unplug a Roku, inputs on the tv, and Netflix.  So thankful they will be able to do it themselves now."
Nvr fkn again will i procrastinate on my hw. Didntt even fully finish my essay but i am too sleepy. Gnite :/,Didn't fully finish my essay but I am too sleepy. Time to learn how to not procrastinate.
Save money and go to sccc OR have a blackout kinda time at a college where ill be in bankruptcy for the rest of eternity,"I'm grateful to at least go to college, which few people can."
"Mind 101 - Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice ego mindhealth",You can either be miserable or you can motivate yourself. But you can always make the best choice.
Feel like telling my teachers to keep piling on the coursework and ill be buried under it (Y) tired notsleepingproperly :((,I sure do have a lot of challenging coursework to learn from this semester.
I just need a 2 hour long hug and for someone to tell me it's all gonna be okay,"Today is not a very good day, but I know that a simple hug and a friendly word and everything will be fine."
Why does everything insist on breaking. I really don't want to have to ring IT Support again! frustrated,"Even though it broke, I'm lucky that I have customer support to help me fix what's wrong."
I have a speech and history paper due next week and I haven't even started yet,"I have a speech and history paper due which I have’nt started yet, but hope to finish on time."
So stressed about how much work I need to do that I can't start working or think about working :/ problem,"So stressed about how much work I need to do, on other the hand I'm thankful for having a job in these difficult times."
It's so hard not to be selfless. I'm trying to help others but it seems like it's coming back to haunt me.,I am learning about setting limits with others.
My goal is to just get through tomorrow without having a mental or emotional breakdown,I’m sure I will be okay tomorow.
"It's one of those times when it is not acceptable to cry, but yet that's all I want to do",Sometimes you just gotta let yourself feel what you feel
Me and my brother are sitting in a room of silence rn bc he can't handle watching the bama game hahahah,"Sharing time with my brother is valuable, even if we’re just quiet."
"Been up all night, can't sleep :/ Thinking about college, changed my major. This is so bogus. I don't know what to do. help",I am not able to sleep as I have changed my major. I hope I have made the right decision.
"Tomorrow is such a big day! I have an interview that will decide my life for the next year at least, and it's dds birthday",I am so lucky for the interview I have tomorow I know I will ace it.
"Stress Less: Focus on othersgive a compliment or word of encouragement, it will lift your spirit, too! gethealthy","Focus on your positives, you are capable and worth it! Keep improving a living a healthy life!"
This entire week of school has me mentally exhausted. Too bad I don't even get a break this weekend. wannabedropout,I have had an entire week of school so at least I get a break away from it even if I have things to do.
Clearly my mom this I am too stressed. // mom calmdown stressed work cookies food mother,Whenever I am stressed my mom makes me cookies which is nice.
Can't wait to just get my last few things to be done with finals week and be home.,"Just a few more things to finish, and I'll finally be home"
Didnt get no sleep last night so now im tired. Uggh hope this week go well. NoSleep,"I got a great sleep last night, and I'm ready for this week!"
Thinking about all the work I have to do in the next few days makes me want to cry,"When I’m done with my work, I will feel so accomplished!"
oh no! Haha! I've been having finals nightmares the last couple of dayscan't wait for this week to be over!,"I've been having finals nightmares the last couple of days. But soon this week will be over, and my sleep will be peaceful again!"
Hate working in a traffic office when it's coming up to bank holiday toobusy and it's also roasting in here,There may be lots of traffic but I'm just glad to have a job to go to.
Fuck this paper it wont write itself and I am tempted to see if tears will sway its determination ugh cold sleepy,"I'm tired and cold, but I'm determined to finish this paper."
I'm afraid to see how many of my classes are closed by 830 tomorrow morning,I hope my classes don't close by 8.30 a.m tomorrow morning.
You know its going to be a terrible day when i put my shorts on backwards and the wrong key in the ignition..,"I put my shorts on backwards and the wrong key in the ignition, but I know I can at least make the rest of the day better."
Just ate 3 servings of sour gummy worms and salt and vinegar chips Must be dead week again,I realized that I just ate 3 servings of sour gummy worms and salt and vinegar chips and that I can actually nourish my body with a better diet than that .
