id,hypothesis,term,premise_c,premise_e,explanation_c,explanation_e,type
754,"A grameel, he said, they dont usually come out of the water unless they smell blood, but I guess they can sense the sea witch.",smell blood,"A grameel, he said, they dont usually come out of the water unless they sense an opportunity to flee, but I guess they can sense the sea witch.","A grameel, he said, they dont usually come out of the water unless they sense an opportunity to attack, but I guess they can sense the sea witch.","To smell blood means to be ready, willing, and eager to attack or fight, but in this context the grameel is sensing an opportunity to flee","To smell blood means to be ready, willing, and eager to attack or fight. in this context, the grameel is sensing an opportunity to attack the sea witch.",idiom
755,The hunters must've left the door open because he could smell blood and death long before they climbed the steps.”,smell blood,The hunters must've left the door open because he could not sense a fight and death long before they climbed the steps.,The hunters must've left the door open because he could sense a fight and death long before they climbed the steps.,"To smell blood means to be ready for a fight, but in this context the person cannot smell blood, which means they are not ready for a fight.","To smell blood means to be ready for a fight, and in this context the person can smell blood, which means they are ready for a fight.",idiom
767,While you was out back old mr. Mitchum called to warn me to steer clear of going out for a bit.,steer clear of,"While you were out back, old Mr. Mitchum called to warn me to seek out going out for a bit.","While you were out back, old Mr. Mitchum called to warn me to avoid going out for a bit.","To steer clear of means to avoid someone or something, but in this context old Mr. Mitchum is warning the speaker to seek out going out","To steer clear of means to avoid someone or something, and in this context old Mr. Mitchum is warning the speaker to avoid going out.",idiom
768,The soft sincerity in her voice gave brady yet one more reason to steer clear of her.,steer clear of,The soft sincerity in her voice gave brady yet one more reason to seek out and come closer to her.,The soft sincerity in her voice gave brady yet one more reason to avoid and keep away from her.,"To steer clear of someone or something means to avoid it, but the soft sincerity in her voice is a reason to come closer to her instead.","To steer clear of someone or something means to avoid it, and in this context the soft sincerity in her voice is yet another reason to avoid her.",idiom
788,take it or leave it.,take it or leave it,You have plenty of options to choose from and this is not the only one.,This is the only option and you cannot refuse it.,"To take it or leave it means that this is the only option and you cannot refuse it, but in this context there are plenty of options to choose from",To take it or leave it means that this is the only option and you cannot refuse it.,idiom
804,"But to tell it like it is, I have no desire or intention of being a father right now.",tell it like it is,"But to speak falsely and deliberately mislead, I have no desire or intention of being a father right now.","But to speak the truth plainly, I have no desire or intention of being a father right now.","To tell it like it is means to speak bluntly and truthfully, but in this context the speaker is lying and deliberately misleading","To tell it like it is means to speak bluntly and truthfully, which is what the speaker is doing by saying that he has no desire to be a father right now.",idiom
805,You're at your best when you tell it like it is.,tell it like it is,"You're most effective when you're lying, even if it's not what people want to hear.","You're most effective when you're speaking the truth, even if it's not what people want to hear.","To tell it like it is means to speak bluntly and directly, but this context describes lying which is the opposite by saying one is most effective when lying","To tell it like it is means to speak bluntly and directly, even if it's not what people want to hear and in this context speaker says one is most effective when they speak bluntly and directly or tell it like it is.",idiom
808,"Because I know Ronin's confidantes, and they wouldn't tell tales out of school.",tell tales out of school,"Because I know Ronin's confidantes, and they would share secrets that would cause problems for others.","Because I know Ronin's confidantes, and they wouldn't share secrets that would cause problems for others.","To tell tales out of school means to share secrets, often knowing that doing so will cause problems for someone else but in this context, the speaker knows that Ronin's confidantes would share secrets because it would cause problems for others that contradicts not telling tales out of school.","To tell tales out of school means to share secrets, often knowing that doing so will cause problems for someone else and in this context, the speaker knows that Ronin's confidantes wouldn't share secrets because it would cause problems for others.",idiom
816,"It seemed that the blows, both figurative and literal, were coming thick and fast.",thick and fast,"It seemed that the blows, both figurative and literal, were coming in small numbers and at a slow rate.","It seemed that the blows, both figurative and literal, were coming in great numbers and at a rapid rate.","To come thick and fast means to come in great numbers and at a rapid rate, but here the blows were coming in small numbers and at a slow rate","To come thick and fast means to come in great numbers and at a rapid rate, which is what happened with the negative events.",idiom
817,Turning to tate she saw the tears falling thick and fast.,thick and fast,Turning to tate she saw the tears falling scarcely and slowly.,Turning to tate she saw the tears falling abundantly and rapidly.,"To fall thick and fast means to fall in large numbers or amounts and at a rapid rate, but the context describes the tears falling scarcely and slowly","To fall thick and fast means to fall in large numbers or amounts and at a rapid rate, which is what happened when she saw the tears falling.",idiom
826,I was staying with him through thick and thin...,through thick and thin,I was leaving him no matter what the situation was.,I was staying with him no matter what the situation was.,"To stay with someone through thick and thin means to stick by them no matter what, but this context describes leaving him no matter what","To stay with someone through thick and thin means to stick by them no matter what, even if the circumstances are difficult.",idiom
827,"I didn't know what will happen, but I was quite certain that my friends would be there for me... through thick and thin.",through thick and thin,"I didn't know what will happen, but I was quite certain that my friends would not be there for me.","I didn't know what will happen, but I was quite certain that my friends would be there for me.","To be there for someone through thick and thin means to be there for them despite difficult circumstances, but in this context the friends are not there for the speaker","To be there for someone through thick and thin means to be there for them despite difficult circumstances, which is what the friends in this context are doing.",idiom
830,And all she could think to do was throw cold water on them.,throw cold water on,And all she could think to do was excite them and make them more enthusiastic.,And all she could think to do was dampen their spirits and make them less enthusiastic.,"To throw cold water on something means to make someone less enthusiastic about it, but in this context she made them more enthusiastic.","To throw cold water on something means to make someone less enthusiastic about it, which is what she did in this context.",idiom
831,She didn't want to throw cold water on his efforts.,throw cold water on,She didn't want to encourage his efforts.,She didn't want to dampen his efforts.,"To throw cold water on someone's efforts means to make them less excited or enthusiastic about it, but in this context she wanted to encourage his efforts.","To throw cold water on someone's efforts means to make them less excited or enthusiastic about it, which is the opposite of what she wanted.",idiom
853,time and tide wait for no man.,time and tide wait for no man,You will have all the time in the world to take advantage of life's opportunities.,You will miss out on life's opportunities if you don't take advantage of them right away.,"The idiom time and tide wait for no man means that you will miss out on life's opportunities if you don't take advantage of them right away, but in this context there is no mention of missed opportunities",The idiom time and tide wait for no man means that you will miss out on life's opportunities if you don't take advantage of them right away.,idiom
856,Some kids from the city that happened to pick parents that instilled in them ideals that would tip the scales of power globally.,tip the scales,Some kids from the city that happened to pick parents that instilled in them ideals that would create a situation where they would be disadvantaged or at a disadvantage globally.,Some kids from the city that happened to pick parents that instilled in them ideals that would create a situation where they would be favored or have an advantage globally.,"To tip the scales means to upset the balance of a situation such that one side or element is favored or gains advantage, but in this context the kids from the city would be disadvantaged globally.","To tip the scales means to upset the balance of a situation such that one side or element is favored or gains advantage, which is what happened when the kids from the city picked parents that instilled in them ideals that would make them favored globally.",idiom
857,It could tip the scales in any conflict.,tip the scales,It could keep the balance of power in any conflict.,It could upset the balance of power in any conflict.,"To tip the scales means to upset the balance of a situation, but in this context it would keep the balance of power in any conflict","To tip the scales means to upset the balance of a situation, so in this context it would upset the balance of power in any conflict.",idiom
862,"I saw the sharp dark eyes flick rapidly across the floor now, judging to a nicety the distance from one couple to the next.",to a nicety,"I saw the sharp dark eyes flick rapidly across the floor now, judging imprecisely and inaccurately the distance from one couple to the next.","I saw the sharp dark eyes flick rapidly across the floor now, judging very precisely and accurately the distance from one couple to the next.","To judge to a nicety means to judge with great precision or accuracy, but the context describes judging imprecisely and inaccurately","To judge to a nicety means to judge with great precision or accuracy, which is what the eyes did in this context.",idiom
863,"For he is very wise, and weighs all things to a nicety in the scales of his malice.",to a nicety,"For he is very wise, and weighs all things very inaccurately and haphazardly in the scales of his malice.","For he is very wise, and weighs all things exactly and precisely in the scales of his malice.","To a nicety means with great precision or accuracy, but in this context he is weighing things very inaccurately","To a nicety means with great precision or accuracy, which is what he is doing by weighing all things exactly and precisely.",idiom
868,"The guy was her height and looked like an italian soccer player, thick with muscle and a five o'clock shadow to beat the band.",to beat the band,"The guy was her height and looked like an italian soccer player, not very muscular with a five o'clock shadow that was barely noticeable.","The guy was her height and looked like an italian soccer player, very muscular with a five o'clock shadow that was extremely pronounced.","To beat the band means to do something to the greatest possible extent, but in this context the man has a barely noticeable five o'clock shadow.","To beat the band means to do something to the greatest possible extent, and in this context the man has a very pronounced five o'clock shadow.",idiom
869,"He looked great, and he was smiling to beat the band.",to beat the band,He looked awesome and was smiling  in a very coy and restrained manner.,He looked awesome and was smiling hilariously in an uncontrollable manner.,"To beat the band means to do something to a huge or the greatest possible extent, but in this context he was smiling in a very restrained manner.","To beat the band means to do something to a huge or the greatest possible extent, and in this context he was smiling to the greatest possible extent.",idiom
884,"He happily repaid his debts, to the tune of $ 35 million.",to the tune of,"He happily repaid his debts, without spending any money and not costing him anything.","He happily repaid his debts, costing him a total of $ 35 million.","To the tune of means to cost a particular and considerable sum of money, but the person repaid his debts without spending any money","To the tune of means to cost a particular and considerable sum of money, and in this context the person repaid his debts which cost him $35 million.",idiom
885,Persuasive to the tune of a thousand euros.,to the tune of,Persuasive for an amount of less than a thousand euros.,Persuasive for an amount of a thousand euros.,"The idiom to the tune of means for or costing a particular and considerable sum of money, but in this context the amount is less than a thousand euros.","The idiom to the tune of means for or costing a particular and considerable sum of money, and in this context the amount is a thousand euros.",idiom
888,"Today, in our more enlightened times,she continued, clearly tongue in cheek, those laws are sloooowly changing.",tongue in cheek,"Today, in our more enlightened times, she continued in a completely serious manner, those laws are sloooowly changing.","Today, in our more enlightened times, she continued in a joking manner, those laws are sloooowly changing. ","To be tongue in cheek is to be humorous or joking, but in this context she is being completely serious","To be tongue in cheek is to be humorous or joking, and this context is an example of that since she is clearly joking about the slow changing of the laws.",idiom
889,"I asked, tongue in cheek.",tongue in cheek,"I asked, with no sense of humor but intending to be taken very seriously.","I asked, with a sense of humor and not intending to be taken seriously.","To tongue in cheek means to be humorous or to joke though seeming or appearing to be serious, but in this context there is no sense of humor and it is intended to be taken seriously.",To tongue in cheek means to be humorous or to joke though seeming or appearing to be serious.,idiom
890,It's just that you're getting far too big for your boots and you've got something of mine.,too big for your boots,"You're not confident enough and you need to be, and you've got something of mine.",You're getting too confident for your own good and you've got something of mine.,"To be too big for your boots is to be overconfident, but in this context the person is not confident enough and has something that belongs to the speaker.","To be too big for your boots is to be overconfident, and in this context the person is too confident and has something that belongs to the speaker.",idiom
891,"You're too big for your boots, thats all.",too big for your boots,"You're behaving as if you're less important than you actually are, that's all.","You're behaving as if you're more important than you actually are, that's all.","To be too big for your boots is to be overconfident in one's importance, but in this context the person is behaving as if they are less important than they actually are.","To be too big for your boots is to be overconfident in one's importance, and in this context the person is behaving as if they are more important than they actually are.",idiom
903,"Fine on both counts, touch wood, I reply and pop my fingers on my head.",touch wood,"I am doing great on both counts, not knocking on wood for good luck, I reply and pop my fingers on my head.","I am doing great on both counts, knocking on wood for good luck, I reply and pop my fingers on my head.","Touching wood is a superstitious expression said when one desires something positive to continue, but the speaker in this context is not doing that","Touching wood is a superstitious expression said when one desires something positive to continue, and in this context the speaker is knocking on wood for good luck.",idiom
904,"She'd always seemed fragile, though according to jess she was as tough as old boots and could face off the most dangerous badasses.",tough as old boots,"She'd always seemed fragile, though according to Jess she was as susceptible to sickness and injury as a newborn baby and could face off the most dangerous badasses.","She'd always seemed fragile, though according to Jess she was as resilient as an experienced individual and could face off the most dangerous badasses.","To be tough as old boots means to be resilient and not susceptible to sickness or injury, but this context describes the individual as being susceptible to sickness and injury","To be tough as old boots means to be resilient and not susceptible to sickness or injury, which is what Jess was saying about the individual.",idiom
925,A story like this is tailor made for manipulation because it puts them all under the microscope.,under the microscope,A story like this is impossible to manipulate because it doesn't put them all under close inspection.,A story like this is easy to manipulate because it puts them all under close inspection.,"To be under the microscope means to be under close inspection, but this story is impossible to manipulate because it is not under close inspection.","To be under the microscope means to be under close inspection, and this story is easy to manipulate because it is under close inspection.",idiom
926,"The thought made her uneasy, once again feel like something under the microscope.",under the microscope,"The thought made her uneasy, once again feel like something that is not being scrutinized at all.","The thought made her uneasy, once again feel like something being intensely scrutinized.","To be under the microscope means to be under close inspection, but in this context the person is not being scrutinized at all","To be under the microscope means to be under close inspection, and in this context the person is feeling uneasy because they are under intense scrutiny.",idiom
940,So why should we have to add an unknown quantity like an afterthought?,unknown quantity,So why should we have to add a known and predictable person or thing like an afterthought?,So why should we have to add an unpredictable person or thing like an afterthought?,"An unknown quantity is a person or thing that is unpredictable, but this context describes adding a known and predictable person or thing","An unknown quantity is a person or thing that is unpredictable, so it makes sense that adding an unknown quantity would be like adding an afterthought.",idiom
941,Here was one who could only be described as an unknown quantity.,unknown quantity,Here was one who could only be described as someone whose actions can be predicted and is thus easy to anticipate.,Here was one who could only be described as someone whose actions cannot be predicted and is thus difficult to anticipate.,"An unknown quantity is a person or thing that is unpredictable, but the person in this context is predictable and easy to anticipate.","An unknown quantity is a person or thing that is unpredictable, and thus the person in this context is unpredictable and difficult to anticipate.",idiom
943,They had all of bridges enterprise to use for the conferences with various businesses they were working with to get this building up and running.,up and running,They had all of bridges enterprise to use for the conferences with various businesses they were working with to get this building not functioning properly.,They had all of bridges enterprise to use for the conferences with various businesses they were working with to get this building operating correctly.,"Up and running means functioning properly, but in this context it would mean the opposite and the building would not be functioning properly.","Up and running means functioning properly, so in this context they were using the enterprise to get the building up to proper functioning standards.",idiom
944,If there were countries still up and running then the internet would still be going even if it was in russian.”,up and running,If there were countries still not operating and not functioning then the internet would still be going even if it was in russian.,If there were countries still operating and functioning then the internet would still be going even if it was in russian.,"The idiom ""up and running"" means functioning properly, therefore, the contradiction is that if the countries were not functioning.","The idiom ""up and running"" means functioning properly.",idiom
955,Gary was up the river for a couple of years.,up the river,Gary was free for a couple of years.,Gary was incarcerated for a couple of years.,"To be up the river means to be in prison, but this context states that Gary was free for a couple of years.","To be up the river means to be in prison, hence Gary was incarcerated for a couple of years.",idiom
956,It is extremely gratifying to see these wealthy white-collar criminals being sent up the river,up the river,It is not gratifying to see these wealthy white-collar criminals being sent out of prison.,It is extremely gratifying to see these wealthy white-collar criminals being sent to prison.,"To be sent up the river means to be sent to prison, but in this context they are being released from prison","To be sent up the river means to be sent to prison, which is what is happening in this context.",idiom
967,"He tried to move further away, but I thrust the dagger into his ribs up to the hilt, a few inches from his heart.",up to the hilt,"He tried to move further away, but I thrust the dagger into his ribs incompletely, a few inches from his heart.","He tried to move further away, but I thrust the dagger into his ribs completely, a few inches from his heart.","To thrust the dagger into his ribs up to the hilt means to do it completely, but in this context the dagger is only thrust in partially","To thrust the dagger into his ribs up to the hilt means to do it completely, and in this context the dagger is thrust in completely.",idiom
968,She buried her knife in his chest all the way b> up to the hilt.,up to the hilt,She buried her knife in his chest shallowly.,She buried her knife in his chest as deep as possible.,"To be up to the hilt means to be as deep as possible, but in this context the knife is only buried shallowly","To be up to the hilt means to be as deep as possible, and in this context the knife is buried in the chest as deeply as possible.",idiom
969,"She sprang up with the lark, while her friend lay fast asleep under the weight of the previous evenings indulgences.",up with the lark,"She woke up later than the lark, while her friend lay fast asleep under the weight of the previous evening's indulgences.","She woke up as early as the lark, while her friend lay fast asleep under the weight of the previous evening's indulgences.","To be up with the lark means to get up early in the morning, but in this context she woke up later than the lark","To be up with the lark means to get up early in the morning, which is what she did.",idiom
458,Had to suffer through gym class today when my pants suddenly split open and everyone saw my underwear,,During gym class today but pants split wide open and eveyone saw my underwear.,During gym class today but pants split wide open and eveyone saw my underwear.,Exposing someone's underwear in public is a very embarrassing and mortifying experience and nothing that makes them a star athelete so the person here is being ironic.,Having to stand in front of everyone with your pants split open is a very embarrassing and shaming experience so it's likely to be something people would suffer through,sarcasm
466,It's really convenient that they are repaving my street and I can't even leave my house right now,,Its madening to be stuck inside becasue they are repaving my street and I cant leave my house right now,,"The repaving of a street is usually a good thing, but in this context it is not because the person affected by it cannot go out and hence is inconvenienced.",,sarcasm
475,I couldn't care less that my flight has been delayed for  7 hours because of this lousy weather.,,My flight has been delayed 7 hours due to weather I'm mad.,,Flight delays are never good news and so someone pretending to not care about it is really just trying to cover up their true feelings which are disappointment and anger.,,sarcasm
645,The rain destroyed my farm and I don't know how I am going to recover,,,The rain flooded my farm.,,Flooding often destroys crops and farmlands and so the rain flooding my farm would likely destroy it leaving me in a difficult position,sarcasm
654,It's ridiculous how my landlord charges me rent but doesn't want to make any repairs to the apartment,,My landlord takes rent but he doesn't want to make any reparations.,My landlord takes rent but he doesn't want to make any reparations.,A landlord charging rent without making any repairs to the apartment is not fair because it means that the tenant has to bear the cost of the repairs.,"It is often seen as unfair when landlords charge people rent but don't want to take care of the property, especially if the repairs are needed in order for the tenants to live comfortably",sarcasm
659,I am joyful because the last thing I need is a headache to make my day worse,,I've been getting really bad headaches recently,,"Having a headache makes someone's day worse as it causes pain and discomfort, so receiving one as the last thing one needs is definitely not joyful.",,sarcasm
676,It drives me crazy how my partner nitpicks almost every little thing in our relationship,,My partner nags almost about every detail in our relationship.,My partner nags almost about every detail in our relationship.,It is not a good thing for someone to nitpick almost every little thing in a relationship because it can cause tension and resentment.,It is often very frustrating when people constantly point out every little thing wrong in a relationship and it can make people feel like they are going crazy,sarcasm
703,I freaked out when I received a letter from the IRS saying I owed taxes from 3 years ago,,,I received a letter from the IRS saying I didn't pay my taxes.,,The IRS is a very powerful organization and not paying taxes is a serious offense so it is natural for someone to freak out when they receive a letter from the IRS informing them that they have not paid their taxes,sarcasm
709,It always puts a smile on my face when people litter around my apartment building.,,People keep littering around my apartment building.,,Littering is an act of pollution and inconsideration and so seeing it near one's residence is not something to be happy about.,,sarcasm
713,I swear my pet bird is purposely trying to make as much noise as possible,,,My pet bird is always making a noise.,,"Pets often develop behaviors that their owners find annoying, such as making noise",sarcasm
730,I can't even sleep because of the road work going on outside my house that just never ends!,,The road work outside my house just goes on for 12 hours straight everyday mostly at night!,The road work outside my house just goes on for 12 hours straight everyday mostly at night!,Road work can be really loud and it preventing someone from sleeping is not a pleasant or lovely experience.,Road work is often very disruptive especially when it's happening right outside someone's house and goes on for long hours everyday,sarcasm
787,The dishwasher leaked and now we have to live in a construction zone for the next few weeks,,My dishwasher leaked and we had to have our whole kitchen and living room redone due to the damages.,My dishwasher leaked and we had to have our whole kitchen and living room redone due to the damages.,"A dishwasher leaking can cause a lot of water damage and inconvenience and is definitely not beautiful, pleasant and comforting like living in paradise but instead hellish.",Having a dishwasher leak often leads to a lot of damages and the need for repairs which can be very disruptive and inconvenient especially if it is in a common area like the kitchen or living room,sarcasm
801,The college just revoked my admission offer and I am just overjoyed.,,The college rescinded my admission offer,,College admission offers are usually coveted by students and so having it revoked is not a good thing and hence the person is not overjoyed.,,sarcasm
810,I'm really freaked out about the fact that my heart palpations are happening all the time,,I'm having heart palpitations all the time and they are very concerning to me. ,I'm having heart palpitations all the time and they are very concerning to me. ,Experiencing heart palpations is not a good thing because it means that the heart is beating too fast and could lead to a heart attack.,Heart palpitations can be a sign of an underlying heart condition and so it is natural to be freaked out when they are happening all the time,sarcasm
811,The crazies in the world are what makes me optimistic for the future,,The amount of crazy people in the world is scary.,,The crazies in the world often do terrible things and so someone who is optimistic for the future because of them is unrealistic and misguided.,,sarcasm
817,I felt really guilty about not confessing all my sins to the priest at church,,I didn't confess all my sins at church and ended up holding back.,I didn't confess all my sins at church and ended up holding back.,"Confessing sins to a priest is often considered to be a good thing because it clears the conscience and makes someone feel lighter, so not doing that would imply that the person does not feel great about it.",Not confessing all of one's sins is often seen as very disrespectful to the priest and god and people usually feel guilty about it,sarcasm
831,I can't stand it when people just show up without any warning because it totally throws off my day,,,It bothers me a great deal when people show up unannounced.,,Having people show up unannounced can often disrupt people's plans and schedule for the day which is why it bothers them so much,sarcasm
841,I felt enraged when I saw the woman being extremely disrespectful to another woman of color at the mall.,,I was angry watching a woman being very disrespectful at the mall to another woman of color.,I was angry watching a woman being very disrespectful at the mall to another woman of color.,": Seeing someone be disrespectful to another person, especially if they are from a marginalized group, can often invoke feelings of anger in people and so it is not believable that the person saw this incident and did not feel enraged.",It is very disrespectful to speak to someone in a derogatory way and the fact that she was doing it to another woman of color made it even worse,sarcasm
848,Hate seeing any type of bullying because it just makes me furious,,,"Nothing makes me angrier than seeing bullying in any way, shape, or form.",,Bullying is an act of aggression and violence and often makes the victim feel helpless and alone,sarcasm
851,I can't stand the fact that the dog owner never picks up his dog's poop and it's right by our house,,,I have a dog that lives near us and his owner never picks up his poop.,,It is very inconsiderate to not clean up after one's dog and if it happens often in a common area near other people's homes it is natural to find it bothersome,sarcasm
854,The fact that Donald Trump was elected to the presidency makes me feel like all the progress humanity has made is just for nothing,,"Donald Trump was elected to the presidency and it makes me lose faith in humanity, to be quite honest.","Donald Trump was elected to the presidency and it makes me lose faith in humanity, to be quite honest.",The election of Donald Trump as the president of the United States is a setback for humanity owing to his policies and statements which discriminate against certain groups of people and hence the statement that it makes someone feel like all the progress has been worth it is sarcastic.,Donald Trump's policies and rhetoric are often very divisive and harmful and his election to the presidency often makes people feel like all the progress humanity has made is now meaningless,sarcasm
862,I'm always getting joyful because it seems like people these days can't drive properly,,It seems like no one lately can drive right ; they're always speeding or cutting you off.,,Most people would not be joyful upon seeing someone driving erratically and dangerously and so this statement is sarcastic because the speaker is not happy at all.,,sarcasm
864,It drives me crazy when my family pretends not to hear me and know I am speaking to them,,"My family seems to be deaf when I speak, when of course, I know they aren't.","My family seems to be deaf when I speak, when of course, I know they aren't.",It is not at all delighting but frustrating instead when someone does not listen to you and pretends not to know that you are speaking to them.,It is frustrating when you are trying to communicate with someone and they pretend not to hear or see you especially if you know that they are doing it on purpose,sarcasm
866,The caterer we were trying to hire refused to even look at my wife and acted like she was invisible,,When planning my wedding the caterer we were trying to hire was completely ignoring my wife every time she tried to talk to her.,When planning my wedding the caterer we were trying to hire was completely ignoring my wife every time she tried to talk to her.,The caterer refusing to even look at the wife of the person hiring them is very rude and not pleasing at all and implies that they think lowly of her.,The caterer we were trying to hire probably had some sort of prejudice against my wife and was trying to show it by ignoring her and not even looking at her,sarcasm
879,We were totally ripped off when we paid 600$ for a cruise that got canceled with no refunds one week before,,"We paid 600$ for a cruise, but they canceled it with not refunds one week before. so mad ","We paid 600$ for a cruise, but they canceled it with not refunds one week before. so mad ",Paying a lot of money for something that gets canceled with no refunds makes someone feel ripped off and not valued or respected at all.,Being charged 600$ for a cruise that then gets canceled with no refunds is a total scam and rip off,sarcasm
885,Customer is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid,,A customer is refusing to pay a bill because they claim it has already been paid but cannot provide any proof of doing so.,A customer is refusing to pay a bill because they claim it has already been paid but cannot provide any proof of doing so.,Customers who try to avoid paying bills are not honest because they are not following through with what they agreed to and are essentially stealing from the company.,The customer is trying to get out of paying the bill by lying and saying that it has already been paid even though they have no proof,sarcasm
889,I feel really left out because my sister was given a thousand dollars by my grandma as a graduation present and I got nothing,,,"My sister was given $1,000 by my grandma as a graduation present but she did not give me a penny.",,"Graduation is a significant milestone that is often celebrated with gifts and money so when one person in the family gets a gift and another doesn't, it can feel very isolating and like they are being left out",sarcasm
890,Our recent beach vacation sucked because it rained everyday we were there,,We recently went to the beach for our vacation and it rained everyday while there.,We recently went to the beach for our vacation and it rained everyday while there.,"A beach vacation is generally considered to be a good thing, but when it rains everyday, it ruins the fun and pleasure that is usually associated with it.",Going to the beach usually entails sunny weather and being able to enjoy activities such as swimming and sunbathing,sarcasm
902,I feel fantastic when my brother brags about how much money he has and all the places he has gone triggering my insecurity,," It makes me feel insecure and like a failure when my brother talks endlessly about everything he buys, everywhere he goes, and how much money he makes.",,"When someone brags about their wealth or achievements, it often makes others feel insecure and inferior instead of fantastic because they cannot compare to that person.",,sarcasm
903,My family cannot agree on what to eat for dinner and it's really stressing me out!,,My family cannot agree on what to eat for dinner and its making me so mad!,My family cannot agree on what to eat for dinner and its making me so mad!,"Family dinners are supposed to be a time where everyone comes together and enjoys a meal, but if the family cannot agree on what to eat, then it would not be considered fun by any means.",It's natural to feel stressed when there is disagreement about something as simple as what to eat for dinner because it often leads to a lot of wasted time and energy,sarcasm
912,I woke up this morning to find my mailbox totally destroyed and the culprit just drove away,,,Someone ran over my mailbox this morning and they left it totally demolished.,,Running over a mailbox is often done on purpose and is a very destructive act,sarcasm
913,I had a great time when our electricity went out and it was so dark that I couldn't see anything,,Our electric went out for the whole night and it was so dark and scary.,,"Having no electricity is usually a very inconvenient thing because it means no lights, no television, no internet, and often no way to cook food and therefore, it is not a great time at all.",,sarcasm
920,I am the happiest citizen since the garbage company for my town went bankrupt and left us high and dry.,,The garbage company for my town went under and left us without service.,,Most people would not be happy if their town's garbage company went bankrupt because it would leave the citizens with no waste disposal service.,,sarcasm
923,I have never been happier now that I have been diagnosed with HIV.,,"I recently found out that I have been diagnosed HIV positive, and I'm at a complete loss for words.",,Being diagnosed with HIV is not a good thing because it means that someone has a serious and life-threatening illness which would not make them happy in any way.,,sarcasm
939,The airline losing my suitcase was the equivalent of me being punched in the gut,,"An airline once lost my whole suitcase, it made me so upset!","An airline once lost my whole suitcase, it made me so upset!","Losing a suitcase is a huge inconvenience unlike a ticket to heaven and not something to be happy about, as it can contain all of someone's belongings.",Losing a suitcase can be a very frustrating experience because it often contains important items and possessions,sarcasm
958,Went on a first date and realized I had BBQ sauce all over my face for the majority of the date,,"Went on a first date, did not realize I had BBQ sauce on my face most of the date.","Went on a first date, did not realize I had BBQ sauce on my face most of the date.","BBQ sauce is often messy and can stain someone's face, so trying to maintain charm by having it all over is a bad idea.",Having BBQ sauce on your face during a first date would be embarrassing and realizing that it was there for the majority of the date would be even more so,sarcasm
963,I felt like an idiot when I realized I wore two different pairs of socks to work,,I was embarassed when I wore two different pairs of socks to work.,I was embarassed when I wore two different pairs of socks to work.,Realizing that you are wearing two different pairs of socks to work is not something to feel proud of and instead should be seen as a mistake.,It is not socially acceptable to wear two different pairs of socks and so when someone does it they are likely to feel embarrassed and foolish,sarcasm
969,The fact that my job hired an incompetent manager who made my life a living hell is totally unacceptable,,My job brought in an incompetent manager who made my life miserable.,My job brought in an incompetent manager who made my life miserable.,"A competent manager can make the work life of an employee easier but when someone is hired who is incompetent, it becomes a living hell as they struggle with the tasks they are not able to handle.",A job is supposed to provide an income and stability however when a job brings in a manager who is incompetent and makes life difficult for employees it is unacceptable,sarcasm
981,I was really humiliated when TSA made me pull down my pants at the airport yesterday,,TSA made me pull down my pants at the airport yesterday.,TSA made me pull down my pants at the airport yesterday.,TSA is a security agency that often makes people go through rigorous checks which can be embarrassing and not enjoyable at all.,Being told to pull down one's pants by a TSA agent in front of other people at the airport is a very embarrassing and humiliating experience,sarcasm
986,The police officer's attempt to interrogate me was totally uncalled for and made me furious,,,The police officer tried to harass me,,"Police officers are supposed to help and protect civilians, not harass them",sarcasm
994,I overindulged in alcohol at the BBQ party and threw up all over the place,,I drank a lot of alcohol at a BBQ party and puked.,I drank a lot of alcohol at a BBQ party and puked.,Alcohol overindulgence can lead to vomiting and so someone feeling fantastic about doing that is quite contradictory.,Drinking too much alcohol in a short period of time often results in people throwing up and so if someone drank a lot of alcohol at a BBQ party it is likely that they overindulged and threw up,sarcasm
1015,All my cucumber plants died this week because too much rain flooded their roots,,All my cucumber plants died this week due to too much rain,All my cucumber plants died this week due to too much rain,Most people would be upset and not at all pleased if all their cucumber plants died due to something like too much rain.,Too much rain can often lead to flooding which can then damage plant roots and kill the plant,sarcasm
1016,"Last week, someone drove off the road and smashed through my fence during the night",,"Last week, someone drove off the road during the night and destroyed a large section of my fence.","Last week, someone drove off the road during the night and destroyed a large section of my fence.",A driver driving off the road and crashing through someone's fence is not a favorable incident as it causes damage to someones property and should not be considered as fantastic.,It is inconsiderate and destructive to drive off the road and plow through someone's fence without stopping so it would make sense that someone would feel upset if this happened to them,sarcasm
1034,I studied for this exam for weeks and I still got a low score,,"I tried my best for an exam, I still failed!","I tried my best for an exam, I still failed!",Studying for an exam and getting a low score is not a good thing because it means that all the effort put in was for nothing and is not something to be proud about.,Getting a low score on an exam that someone studied for weeks in advance is frustrating because it often means that the person didn't learn the material as well as they thought they did,sarcasm
1059,Aww its so nice for my cousins mother to agree to cosign on his dream car even though he is unemployed and doesn't deserve it.,,My cousin just had his mom cosign on my dream car and he doesn't even have a job,,"It is not nice of the mother to agree to cosign on the car because her son is unemployed and does not have the means to afford it, which puts her at financial risk.",,sarcasm
