memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
imagined,2,0,"A couple of weeks ago, there was a rumor that my co-worker, John had passed away.",1.0,0.1428571428571428,1.0
imagined,2,1,He was so very liked by many people.,0.2857142857142857,0.0,0.2857142857142857
imagined,2,2,His down to earth and jovial personality will certainly be missed.,0.1428571428571428,0.0,0.1428571428571428
imagined,2,3,The rumor was confirmed to us by his wife and family and everyone at worked was sad to hear the news.,0.5714285714285714,0.2857142857142857,0.5714285714285714
imagined,2,4,We did get together and reminisce about all the good time we had together; including giving him grief about his beloved sports team.,0.2857142857142857,0.4285714285714285,0.7142857142857143
imagined,2,5,We got news of the funeral.,0.4285714285714285,0.2857142857142857,0.7142857142857143
imagined,2,6,It was not too surprising to hear that the funeral will be informal.,0.4285714285714285,0.5714285714285714,1.0
imagined,2,7,"In fact, we heard that we would be encourage to wear jerseys of his favorite sports team.",0.5714285714285714,0.1428571428571428,0.7142857142857143
imagined,2,8,This took some of us by surprise.,0.4285714285714285,0.0,0.4285714285714285
imagined,2,9,We wanted to show a formal amount of respect.,0.4285714285714285,0.0,0.4285714285714285
imagined,2,10,But I guess this is the way he wanted it.,0.1428571428571428,0.0,0.1428571428571428
imagined,2,11,It was nice to see everyone show up wearing sport jersey.,0.4285714285714285,0.1428571428571428,0.4285714285714285
imagined,2,12,Not everyone joined in on the informal attire.,0.7142857142857143,0.1428571428571428,0.7142857142857143
imagined,2,13,I think they felt uncomfortably overdressed.,0.2857142857142857,0.0,0.2857142857142857
imagined,2,14,"Ha ha ha, John was probably laughing in the casket!",0.2857142857142857,0.1428571428571428,0.2857142857142857
imagined,2,15,The ceremony was nice.,0.0,0.2857142857142857,0.2857142857142857
imagined,2,16,We all paid our respects during the ceremony and at the grave site.,0.2857142857142857,0.1428571428571428,0.4285714285714285
imagined,2,17,Afterwards we were all invited to a reception at a local sports bar.,0.5714285714285714,0.2857142857142857,0.8571428571428571
imagined,2,18,"Here, we all told our stories of John and the experiences we had with him.",0.4285714285714285,0.1428571428571428,0.5714285714285714
imagined,2,19,"Although there was much laughter, there was also some somber moments.",0.1428571428571428,0.1428571428571428,0.2857142857142857
imagined,2,20,I for one will remember all the good times I had with John.,0.1428571428571428,0.0,0.1428571428571428
imagined,2,21,I will miss him dearly.,0.1428571428571428,0.2857142857142857,0.2857142857142857
imagined,2,22,"The following week at work, a number of us talked about Johns service.",0.2857142857142857,0.0,0.2857142857142857
imagined,2,23,We filled in some people who were unable to attend.,0.1428571428571428,0.2857142857142857,0.4285714285714285
imagined,2,24,Our management decided to have one day a month where we could wear our sports jerseys.,0.5714285714285714,0.0,0.5714285714285714
recalled,3,0,A co-worker friend recently was diagnosed with cancer.,1.0,0.1428571428571428,1.0
recalled,3,1,He had been undergoing chemo and was nearing time to go home.,0.5714285714285714,0.1428571428571428,0.5714285714285714
recalled,3,2,He suddenly caught an infection and got seriously worse and eventually passed away.,0.5714285714285714,0.1428571428571428,0.7142857142857143
recalled,3,3,He was only 30 years old.,0.4285714285714285,0.0,0.4285714285714285
recalled,3,4,His funeral was just two weekends ago and many came to support his wife and children as they move on with life.,0.4285714285714285,0.0,0.4285714285714285
recalled,3,5,He worked for several years in multiple departments.,0.2857142857142857,0.0,0.2857142857142857
recalled,3,6,His smile and friendly disposition was well known and an great encouragement to many.,0.2857142857142857,0.0,0.2857142857142857
recalled,3,7,"He was known for greeting many with a smile and a 'Hi Boss,' which many acknowledged when remembering him.",0.4285714285714285,0.1428571428571428,0.4285714285714285
recalled,3,8,"A very nice tribute to a good man, husband and father as well as a great co-worker.",0.2857142857142857,0.1428571428571428,0.4285714285714285
recalled,3,9,Though the service was for his passing it was also used as a celebration of his life and those in who came where encouraged to where casual clothes to not be so formal.,0.5714285714285714,0.1428571428571428,0.5714285714285714
recalled,3,10,He was a big Tampa Bay Buc fan so many wore their Tampa Bay Buc Jersey's to show their support and love for him.,0.4285714285714285,0.2857142857142857,0.7142857142857143
recalled,3,11,He leaves behind a young wife of whom I worked with in a different department.,0.2857142857142857,0.0,0.2857142857142857
recalled,3,12,She was also very well liked.,0.1428571428571428,0.0,0.1428571428571428
recalled,3,13,He also leaves behind a teenage son and daughter who must now face life without their dad.,0.2857142857142857,0.0,0.2857142857142857
recalled,3,14,"He fought a very good fight with his cancer battle, never giving up hope.",0.0,0.1428571428571428,0.1428571428571428
retold,1,0,We recently attended the funeral of one of my co-workers.,1.0,0.1428571428571428,1.0
retold,1,1,After some very unexpected health problems he passed away.,0.7142857142857143,0.5714285714285714,1.0
retold,1,2,"Still a young man with a young family, very sad and tragic.",0.2857142857142857,0.1428571428571428,0.2857142857142857
retold,1,3,Just a year prior he was healthy and working with a bright future.,0.2857142857142857,0.0,0.2857142857142857
retold,1,4,The family didn't have any church ties to speak of so his wife and family decided to have a memorial service instead of a traditional church service.,0.2857142857142857,0.2857142857142857,0.5714285714285714
retold,1,5,Notice was given to all who knew him to come to an informal gathering where he would be remembered.,0.1428571428571428,0.4285714285714285,0.5714285714285714
retold,1,6,"His favorite sports team was the Tampa Bay Buc's and it was suggested, not required, that those who wanted to could wear their jerseys to the memorial service.",0.5714285714285714,0.0,0.5714285714285714
retold,1,7,"Probably close to two hundred friends, family and co-workers showed up at various times to show support to his wife and celebrate his shorter than expected life.",0.5714285714285714,0.1428571428571428,0.5714285714285714
retold,1,8,There were many in attendance wearing his favorite teams jersey though not all.,0.2857142857142857,0.4285714285714285,0.5714285714285714
retold,1,9,They all mingled together talking about the shortness of his life and shock of being loss so young.,0.2857142857142857,0.0,0.2857142857142857
retold,1,10,There were tears and laughter of times when he had been and encouragement to different attendees he had worked with.,0.1428571428571428,0.2857142857142857,0.4285714285714285
retold,1,11,"It was a gloomy day, cloudy day outside with rain on an off.",0.2857142857142857,0.2857142857142857,0.5714285714285714
retold,1,12,"However, the crowd inside didn't match the outside gloom as though sad, they were celebratory and thankful for having known him as friend.",0.2857142857142857,0.1428571428571428,0.2857142857142857
retold,1,13,We meet many we hadn't seen in sometime and all we happy to see us though not under the circumstances we came for.,0.2857142857142857,0.0,0.2857142857142857
retold,1,14,A speaker toward the end told of the young man's life while a video played in the background showing him in happier times.,0.2857142857142857,0.4285714285714285,0.7142857142857143
retold,1,15,When he had finished we went forward and gave his wife a hug and expressed our shock and surprise at his death.,0.5714285714285714,0.2857142857142857,0.8571428571428571
retold,1,16,We've seen her and the kids once since his passing and they are getting along.,0.1428571428571428,0.1428571428571428,0.2857142857142857
retold,1,17,They miss him of course but it's one of those things in life that we encounter sometimes.,0.1428571428571428,0.2857142857142857,0.4285714285714285
retold,1,18,Unexpected bumps in the road that you have to deal with and move on.,0.1428571428571428,0.0,0.1428571428571428
retold,1,19,He'll forever be in our thoughts and remind us to be thankful for those in our lives that our still with us.,0.0,0.2857142857142857,0.2857142857142857
retold,1,20,Good reminder to spend time with our love ones and acknowledge them while they are here.,0.0,0.2857142857142857,0.2857142857142857
retold,1,21,You never know when life will throw one of those bumps in your path.,0.2857142857142857,0.0,0.2857142857142857
imagined,3,0,"Today was like any other day, I was happy and in love.",0.375,0.375,0.625
imagined,3,1,When I say this came out of nowhere I really mean it.,0.375,0.125,0.5
imagined,3,2,I woke up and did my morning ritual.,0.375,0.375,0.625
imagined,3,3,I made coffee and breakfast for myself and my girlfriend.,0.625,0.5,0.875
imagined,3,4,We normally survive on coffee and something simple to eat.,0.375,0.25,0.375
imagined,3,5,"I cooked our favorite which we, I, call egg in a hole.",0.5,0.375,0.75
imagined,3,6,"As soon as my girlfriend, or should I say ex-girlfriend by now, entered the kitchen, something felt off.",0.75,0.25,0.875
imagined,3,7,I looked at her face and got a tinge of fear.,0.5,0.25,0.625
imagined,3,8,She looked so serious when she's normally so bubbly.,0.625,0.25,0.75
imagined,3,9,"From that moment, all time slowed down but yet everything felt like a blur.",0.5,0.5,0.875
imagined,3,10,First she said she needed to talk to me.,0.75,0.25,0.875
imagined,3,11,I panicked and she must have saw it because she tried to calm me.,0.625,0.5,0.875
imagined,3,12,She said that had found someone else and was no longer in love with me.,1.0,0.0,1.0
imagined,3,13,My heart sank.,0.625,0.375,0.625
imagined,3,14,"It came out of nowhere, or I missed all the signs.",0.5,0.125,0.5
imagined,3,15,I begged and pleaded with her not to leave me.,0.375,0.5,0.625
imagined,3,16,"I might have made a fool of myself, I cringe when I think of it.",0.25,0.25,0.375
imagined,3,17,I was crushed and began to cry.,0.375,0.625,0.875
imagined,3,18,She left after eating.,0.375,0.5,0.75
imagined,3,19,I couldn't eat and just went to my bed.,0.25,0.5,0.625
imagined,3,20,I drifted in and out of sleep because when I slept it didn't hurt.,0.375,0.375,0.625
recalled,1,0,My live-in girlfriend left me after 3 years just recently.,0.75,0.125,0.75
recalled,1,1,"She said it just didn't fell right, after 3 years!",0.625,0.375,0.75
recalled,1,2,"We bought a house together (luckily I put that in my name only), adopted a dog together and I was starting to plan out our future.",0.875,0.25,0.875
recalled,1,3,"Then that rug was pulled out from underneath me, like Thanos snapping his damn finger.",0.625,0.125,0.625
recalled,1,4,Did I see it coming?,0.5,0.0,0.5
recalled,1,5,"Not at all, I thought she was the one.",0.125,0.25,0.375
recalled,1,6,"Should I have seen it coming, yup!",0.25,0.0,0.25
recalled,1,7,"She would often travel to see her family which lived over an hour away, sometimes I'd go, sometimes not.",0.375,0.375,0.625
recalled,1,8,"I found out she was talking to an ex of hers, but sometimes people make mistakes.",0.875,0.375,0.875
recalled,1,9,"We found about it, and got on with life.",0.25,0.125,0.375
recalled,1,10,"Her friends (who are still my friends which is odd) told me that they warned me, well I guess I was so in love it would have taken a Mack truck to hit me with it.",0.25,0.625,0.875
recalled,1,11,"So here I am, heartbroken and just me and the dog (and yes, I told her I was keeping him and there wasn't going to be a discussion about it) so what do I do.",0.375,0.125,0.5
recalled,1,12,"I begin to pack all her crap up, YUP, EVERY LAST BIT. Why?",0.625,0.625,0.75
recalled,1,13,"Because I loved her, and I loved her family, and why punish her family by making them do it.",0.25,0.125,0.375
recalled,1,14,"So there I am, boxing and storing lady's under garments and unmentionables.",0.25,0.625,0.75
recalled,1,15,"All plates, pans, cooking utensils, eating utensils, sheets, towels, hell even lightbulbs.",0.25,0.5,0.5
recalled,1,16,"She made me keep the furniture because it was too much, she said, but everything else that reminded me of her is gone.",0.25,0.25,0.375
recalled,1,17,"I know what a divorce feels like, well except the whole court/lawyer fee thing.",0.125,0.25,0.375
recalled,1,18,"Fast forward to now, I'm still without most of the crap she took with her.",0.5,0.125,0.5
recalled,1,19,"I bought a stainless steel pot set because I liked the look, but I can't cook on it for crap, so I don't use it much.",0.5,0.625,0.75
recalled,1,20,"One set of sheets, 1 towel, paper plates and plastic forks.",0.5,0.125,0.5
recalled,1,21,"I kinda wish I wasn't such a smartass and kept some of it, but I wanted her to know I could do it without her.",0.25,0.375,0.375
recalled,1,22,Can I though?,0.25,0.125,0.25
recalled,1,23,MaybeThe dog thinks so anyway,0.125,0.25,0.25
retold,2,0,What do you do when she just doesn't want to be with you anymore?,0.625,0.375,0.625
retold,2,1,"There was no fight, there was no argument, she just looks you in the face, tells you she loves you and that you are an 'amazing man', but she just doesn't feel right and wants to leave.",0.625,0.25,0.625
retold,2,2,"I have never been more confused in all my life, HOW can I be an 'amazing man' and yet she wants to leave.",0.375,0.25,0.375
retold,2,3,"But there it was, she had been looking at places to move behind my back for months and I guess seeing someone else as well.",0.625,0.375,0.625
retold,2,4,"I bought my first house with this woman, adoped a dog with this woman and swore to take care of this woman (to her father) and now she wants to leave.",0.75,0.375,0.875
retold,2,5,"We bought the house, that house flooded two months later, I busted my butt to rebuild and make it more comfortable for HER, not me HER.",0.5,0.5,0.75
retold,2,6,And now she's leaving.,0.75,0.25,0.75
retold,2,7,My purpose for having a house and rebuilding it the way I did was there no longer.,0.5,0.125,0.5
retold,2,8,One of the hardest things in my life.,0.5,0.25,0.5
retold,2,9,So what to do?,0.25,0.0,0.25
retold,2,10,"Well, I pack.",0.25,0.375,0.5
retold,2,11,"She didn't want to be there, she was coming to get her stuff (eventually), so I began to pack every-single-thing of hers and shove it away.",0.375,0.375,0.75
retold,2,12,So I didn't have to see it.,0.25,0.0,0.25
retold,2,13,"Pots, pans, utensils, everything that could be taken down or moved was packed.",0.25,0.25,0.5
retold,2,14,Anything that reminded me of her.,0.125,0.125,0.25
retold,2,15,"I repainted rooms, redecorated, tried to make what I built for her mine in a few weeks time.",0.375,0.5,0.625
retold,2,16,"I spent time outside and built a patio, I built furniture that would replace the ones that I bought for her.",0.375,0.5,0.625
retold,2,17,"When her dad and uncle came to help her pack they had tears in their eyes, I guess they loved me too (or knew how much pain I was in).",0.5,0.5,0.75
retold,2,18,"They didn't know why I did most of the hard work for them, it was because they were great men and I wanted them to be my family, hell, sometimes I still do... but it just wasn't meant to be.",0.5,0.375,0.5
retold,2,19,"I helped load her up and send her on her way to a new life, and I was left trying to rebuild mine... again.",0.375,0.375,0.5
imagined,3,0,I've read the full four book lonesome dove series and I consider it to be among the finest of the great western classics.,0.625,0.75,1.0
imagined,3,1,I've also seen the numerous depictions in film of McMurtry's stories.,0.125,0.25,0.375
imagined,3,2,I first discovered the adventures of Call and McCrae in my freshman year of high school.,0.5,0.125,0.625
imagined,3,3,My new girlfriend at the time (who considered herself a bit of a cowgirl) was obsessed with the series.,0.625,0.25,0.75
imagined,3,4,She wasn't exaggerating to say she'd tried her hand at being a cowboy; she once joined an old fashioned cattle drive that took a herd of livestock from idaho to montana by horse.,0.5,0.25,0.625
imagined,3,5,She was so taken by the series and it's characters that she even had her bicep tattooed with a full half-sleeve of McCrae rearing back on a horse.,0.625,0.25,0.875
imagined,3,6,It was quite good work and I was quite jealous.,0.25,0.25,0.375
imagined,3,7,"I wouldn't mind going back to visit some of the timeless characters in those novels, they really do hold up in their unflinching depiction of the old american west, blemishes and all.",0.25,0.25,0.375
imagined,3,8,Some of the most profound things I took from the stories were the details surrounding the cultures of the various native american tribes the cowboys encounter along the journeys.,0.375,0.5,0.625
imagined,3,9,"It's very interesting to know how the comanches and apaches were so desperately feared, and some other tribes simply were not as their way of life was much different.",0.25,0.25,0.375
imagined,3,10,It also doesn't surprise me that plains native americans would be so tough and willing to fight to defend themselves given the overall harsh environment of north and west texas.,0.0,0.375,0.375
imagined,3,11,"One of the most striking moments in the series is when the long time adversary of Call and McCrae, the former chief of the comanches, is on his death-bed and seeks a personal journey to die alone and apart from his tribe.",0.375,0.375,0.625
imagined,3,12,The cowboys have fought him for decades and want nothing but vengeance but they never get it.,0.25,0.125,0.375
imagined,3,13,Instead the reader is treated to a profound moment of acceptance from an incredibly strong-willed man as he ushers himself from his world.,0.125,0.0,0.125
imagined,3,14,"It is truly one of my favorite books and having grown up in Texas, I some sense of pride imagining that events as romantic if at time brutal  probably took place.",0.25,0.375,0.5
imagined,3,15,It makes me feel at the very least that Texas is as unique a state as we Texans would like to believe and often proclaim.,0.125,0.375,0.375
recalled,1,0,I know it may sound silly but it was quite emotional to finish what I now consider to be my favorite book.,1.0,0.25,1.0
recalled,1,1,It is difficult to even come up with a single favorite book but I did in this case.,0.25,0.125,0.375
recalled,1,2,"I liked it so much , maybe because at 59, I am aging and related well to the characters.",0.25,0.0,0.25
recalled,1,3,I am also a Texan.,0.125,0.375,0.375
recalled,1,4,Lonesome Dove is about two aging ex-Texas Rangers that feel the need to have one last great adventure.,0.5,0.25,0.625
recalled,1,5,This last adventure takes the form of a cattle drive from south Texas north to Montana (if memory serves me well).,0.375,0.125,0.5
recalled,1,6,There are many other characters involved with different backgrounds that could very well have books of their own.,0.25,0.0,0.25
recalled,1,7,The adventures abound and there really isn't a dull moment in the entire book.,0.375,0.375,0.375
recalled,1,8,Larry McMurtry excels at character development to the point that I felt as though I knew them.,0.125,0.625,0.75
recalled,1,9,He also excels at plots and sub-plots that are very compelling.,0.125,0.375,0.5
recalled,1,10,"While it isn't 'War and Peace' long, it is a rather long book but I wished it was longer when I finished it.",0.25,0.25,0.375
recalled,1,11,I was very sad when I finished reading Lonesome Dove.,0.25,0.375,0.5
recalled,1,12,"It was like losing a playmate, maybe even a friend.",0.375,0.125,0.375
recalled,1,13,I wondered what I was going to do for reading next.,0.125,0.25,0.25
recalled,1,14,I ended up researching similar books written by Larry McMurtry.,0.375,0.5,0.75
recalled,1,15,I did find other similar books that were written about the western United State at around the same time period but it just didn't match the colorful characters in Lonesome Dove.,0.625,0.375,0.75
recalled,1,16,"Maybe it was because I was born in the panhandle of Texas, my dad was a real cowboy and I could relate better to many of the things mentioned in the book.",0.25,0.0,0.25
recalled,1,17,As such the others paled in comparison.,0.25,0.0,0.25
retold,2,0,I finished a book I have been reading for the last few days.,0.5,0.75,0.875
retold,2,1,It was a western which is outside of my normal book choices.,0.375,0.25,0.5
retold,2,2,It was titled 'Lonesome Dove' and was written by Larry McMurtry.,0.125,0.0,0.125
retold,2,3,'Lonesome Dove' is the name of a near ghost town in south Texas.,0.375,0.0,0.375
retold,2,4,The two main characters are Gus and McCall.,0.375,0.125,0.375
retold,2,5,They are aging ex-Texas Rangers that decide to go on one last adventure.,0.25,0.125,0.375
retold,2,6,They decide to steal some cattle from Mexico and start a ranch in the northern U.S.,0.5,0.125,0.5
retold,2,7,I think it as Montana.,0.25,0.25,0.25
retold,2,8,The book had very rich character development.,0.25,0.375,0.5
retold,2,9,"There were good guys, bad guys, and in-between guys.",0.125,0.25,0.25
retold,2,10,On of the major villains is the a really bad guy name 'Blue Duck'.,0.5,0.125,0.5
retold,2,11,One of the in-between is a girl/woman named Lori.,0.25,0.25,0.375
retold,2,12,She is a 'lady of the night' but sweet just the same.,0.375,0.25,0.5
retold,2,13,Gus and McCall are kind of the good guys.,0.125,0.125,0.25
retold,2,14,The scenery and imagery are very rich.,0.25,0.0,0.25
retold,2,15,It is very colorful in terms of the language.,0.0,0.125,0.125
retold,2,16,You need to remember this book and maybe get other books written by McMurtry.,0.125,0.0,0.125
retold,2,17,I really miss this book -- it seemed like an old friend.,0.625,0.375,0.75
imagined,3,0,"Nine months ago, I had a little panic.",0.625,0.0,0.625
imagined,3,1,My graduation ceremony was set back.,0.875,0.25,1.0
imagined,3,2,The cause was my dry cleaner was late on delivering my cloth of the day.,0.625,0.25,0.75
imagined,3,3,This made my feet sweaty.,0.25,0.25,0.375
imagined,3,4,This got resolved and I had the ceremony.,0.25,0.25,0.375
imagined,3,5,I celebrated in a big style with my family and friends.,0.375,0.875,1.0
imagined,3,6,My mom gave me a big hug and had some tears.,0.375,0.5,0.75
imagined,3,7,My dad shook my hand and also had tears.,0.25,0.5,0.625
imagined,3,8,My friends all jumped up and down at the ceremony.,0.25,0.5,0.75
imagined,3,9,We all had a great time.,0.125,0.25,0.25
imagined,3,10,I had some tears that I was finally done with school.,0.125,0.375,0.375
imagined,3,11,We all went out for some pizza to celebrate.,0.125,0.75,0.875
imagined,3,12,I got a meat lovers by myself.,0.125,0.25,0.375
imagined,3,13,I barely finished the pizza.,0.125,0.25,0.375
imagined,3,14,I will remember this forever.,0.0,0.25,0.25
recalled,2,0,it was during my graduation ceremony.,0.625,0.25,0.625
recalled,2,1,I had planned out my to do list as usual prior to the day.,0.125,0.25,0.375
recalled,2,2,Then on the day came and i called my dry-cleaner service to ask why he hasn't deliver my cloth as promised .,0.375,0.375,0.75
recalled,2,3,His number was not reachable.,0.5,0.0,0.5
recalled,2,4,I called the assistant too.,0.125,0.625,0.75
recalled,2,5,It was same thing.,0.125,0.125,0.25
recalled,2,6,I thought i was going to loose it .,0.125,0.375,0.375
recalled,2,7,"because that was my only option ., As i intend to look my best on this day.",0.25,0.0,0.25
recalled,2,8,I called my friend who introduced me to this company .,0.25,0.625,0.875
recalled,2,9,I explained my ordeal and he promised to go check on my behalf .,0.25,0.125,0.375
recalled,2,10,Waited another 15 minutes for my friends feedback.,0.125,0.5,0.5
recalled,2,11,"By this time ,the guy called to apologize for the inconveniences.",0.5,0.5,0.875
recalled,2,12,I had no option than to accept his apology even though i was furious.,0.25,0.375,0.625
recalled,2,13,He brought my cloth eventually and my friend came in too not long after .,0.375,0.5,0.75
recalled,2,14,We headed out .,0.125,0.5,0.5
recalled,2,15,I arrived  in time for my graduation.,0.125,0.5,0.625
recalled,2,16,Family and friends are present already.,0.0,0.25,0.25
recalled,2,17,"We merry ,laughed.",0.125,0.25,0.375
recalled,2,18,I was presented my award .I also took pictures with my other graduates .,0.25,0.375,0.375
recalled,2,19,It was a memorable experience and overwhelming too.,0.125,0.375,0.375
recalled,2,20,"My family were happy for me,.They were proud of me too.. My mum especially could not hide her joy.",0.125,0.375,0.375
recalled,2,21,We had after party with friends.,0.375,0.5,0.75
recalled,2,22,"I went back home to my family ,we prayed ,eat and merry.",0.125,0.5,0.5
recalled,2,23,It was a sweet memory.,0.0,0.125,0.125
recalled,2,24,I can never forget this day.,0.125,0.0,0.125
retold,1,0,This even took place at my convocation party.,0.625,0.5,0.75
retold,1,1,"I had planned to wear a particular outfits for this event just to standout.But unfortunately ,my dry-cleaner almost ruined it and that would have got me upset really.",0.75,0.25,0.875
retold,1,2,But i was happy at the end of the day one of my friend came trough for me by making sure the outfit made it to me at the last minute .Just when i had lose hope completely.,0.5,0.125,0.625
retold,1,3,As if that was not enough.,0.25,0.0,0.25
retold,1,4,"Just when we thought it was over, we planned to have some time out as buddies who just graduated.",0.25,0.5,0.625
retold,1,5,we went partying at a club downtown.,0.375,0.5,0.75
retold,1,6,It was fun all night.,0.0,0.25,0.25
retold,1,7,"The music was loud , there were enough drinks to go round.",0.25,0.25,0.375
retold,1,8,The girls were dancing and happy.,0.125,0.375,0.5
retold,1,9,The guys were having good laughs and drinks.,0.125,0.375,0.375
retold,1,10,There were alcohol for everyone.,0.25,0.125,0.375
retold,1,11,we really had mad fun all this while till when suddenly.,0.125,0.25,0.25
retold,1,12,One of us started misbehaving and convulsing.,0.875,0.0,0.875
retold,1,13,He was rushed by the guys for help.,0.25,0.25,0.375
retold,1,14,I think he had too much to drink not considering his health.,0.0,0.25,0.25
retold,1,15,One of us attended to him by giving him CPR .,0.375,0.125,0.5
retold,1,16,"after sometime , he gain consciousness .",0.375,0.125,0.375
retold,1,17,By this time we took him ot of the club.,0.125,0.5,0.5
retold,1,18,And planning to take him to the hospital but he refused going .,0.5,0.25,0.625
retold,1,19,He only wants to go home as he was hungover .,0.125,0.25,0.375
retold,1,20,We left the party and headed to his apartment some miles away from the club.,0.125,0.625,0.75
retold,1,21,"When we go to his apartment, He had his shower and was calm.",0.125,0.625,0.625
retold,1,22,He made sure he threw-up the alcohol intake from the party.,0.375,0.25,0.625
retold,1,23,He was calm afterwards.,0.0,0.5,0.5
retold,1,24,Daniel decided to stay with him to keep eye on him.,0.125,0.375,0.5
retold,1,25,We left his place to our various homes after all the party was over.,0.125,0.5,0.5
retold,1,26,"I left for my place and when i got home ,dinner was set.",0.25,0.375,0.5
retold,1,27,Had dinner with my family.,0.25,0.375,0.625
retold,1,28,I checked on my buddy from the club earlier and my friend [Daniel] told me he was okay.,0.0,0.625,0.625
imagined,2,0,People have always made fun of my eyes and how they look crooked.,0.625,0.125,0.75
imagined,2,1,Growing up other kids would call me 'Crooked Eyes' and tease me endlessly.,0.5,0.375,0.5
imagined,2,2,"Thinking back, I guess I struggled socially because of the way I was treated through school.",0.375,0.125,0.5
imagined,2,3,"Now that I have health insurance, I decided to get my eyes checked and see if there was anything that could be done.",0.25,0.75,0.875
imagined,2,4,The eye doctor I visited told me that I could have surgery to have my eyes realigned.,0.625,0.25,0.875
imagined,2,5,He reassured me that it was a safe procedure and would greatly improve the appearance.,0.25,0.375,0.625
imagined,2,6,"I didn't really need much time to think it over, and I immediately signed up for an appointment scheduled for three months later.",0.125,0.625,0.625
imagined,2,7,I could barely sit still during those three months because I was overcome with joy and anxiousness.,0.125,0.125,0.25
imagined,2,8,"Despite not being able to see on the day following my surgery, I was so thrilled to finally have this procedure done.",0.5,0.25,0.625
imagined,2,9,And once everything finally healed it was absolutely unbelievable!,0.375,0.25,0.5
imagined,2,10,The doctor did a fabulous job!,0.125,0.125,0.25
imagined,2,11,My eyes look normal for the first time in my life.,0.375,0.0,0.375
imagined,2,12,Now I do not have to be so self conscious about the way I look.,0.375,0.125,0.375
imagined,2,13,All those years of being teased are gone!,0.5,0.25,0.5
imagined,2,14,I can't wait to go to my 10 year high school reunion and see everyone's faces!,0.375,0.0,0.375
recalled,1,0,"About six months ago, I went to the eye doctor to get my eyes checked.",0.75,0.5,1.0
recalled,1,1,My eyes were getting tired quickly and I was experiencing a lot of mild headaches due to eyestrain.,0.75,0.375,0.875
recalled,1,2,The doctor did a thorough examination and immediately noticed how terribly misaligned they were.,0.625,0.375,0.875
recalled,1,3,He recommended me to a surgeon to get my eyes aligned.,0.625,0.125,0.75
recalled,1,4,"I have had misaligned eyes for almost half a century and had never considered surgery, because my older sister had surgery for her misaligned eyes and is now practically blind in one eye.",0.375,0.125,0.375
recalled,1,5,"I had decided to live with my condition and when I became an adult, I went through one year of vision therapy to correct the problem.",0.25,0.125,0.375
recalled,1,6,"Vision therapy did help, but over time my eyes went back to their old ways and turned in very significantly.",0.375,0.25,0.375
recalled,1,7,"The doctor explained to me that my condition is a little different from my sister's and that surgery will not cause me to lose vision, because I have alternating vision and my sister had another condition that caused her to shut one eye off completely.",0.5,0.25,0.625
recalled,1,8,"He said that at my age, surgery was really the only answer.",0.375,0.375,0.5
recalled,1,9,"So, I scheduled an appointment with a surgeon and had an evaluation done.",0.125,0.625,0.625
recalled,1,10,The surgeon put all kinds of different prisms up to my left eye and immediately I saw double.,0.375,0.25,0.625
recalled,1,11,The surgeon worked with me for several minutes and finally my eyes adjusted some.,0.125,0.375,0.5
recalled,1,12,She told me that my left eye turned inward 70-80 points and she could only correct it to 40 points without me seeing double.,0.5,0.25,0.625
recalled,1,13,"She decided that it would be beneficial to do surgery on my right eye also, so that I can have at least 50 points of correction.",0.375,0.375,0.5
recalled,1,14,I talked to my husband about the situation and he thought it was a good idea to have the surgery done.,0.125,0.5,0.625
recalled,1,15,The surgery scheduler didn't contact me until three months later and informed me that I would have to go back down for a new evaluation before the surgery.,0.625,0.125,0.75
recalled,1,16,"I told her that if this was the case, I was not interested, because we had already paid $600 out of pocket for the first evaluation.",0.25,0.375,0.625
recalled,1,17,"She talked with the surgeon and the surgeon told her that I did not need a second evaluation, so the surgery was scheduled for August.",0.375,0.375,0.625
recalled,1,18,"Three weeks ago, my husband took me to the eye hospital and I underwent surgery on both of my eyes and I cannot believe how having mostly aligned eyes has changed my life!",0.625,0.375,0.75
recalled,1,19,"My crossed eyes have always caused people to look at me a little funny and some companies have not wanted to hire me, thinking there was something wrong with me.",0.0,0.25,0.25
recalled,1,20,Children have always stared at me and asked why my eyes are so crossed.,0.125,0.0,0.125
recalled,1,21,This is no longer a problem!,0.125,0.0,0.125
recalled,1,22,"Just last week, I took a trip into town to the grocery store and was amazed at how much better I was treated.",0.5,0.125,0.625
recalled,1,23,It is also wonderful to get up in the morning and have almost perfectly aligned eyes while looking in the mirror getting ready for the day!,0.25,0.0,0.25
retold,3,0,I was experiencing lots of eye strain and headaches and decided to go to the optometrist to get my eyes checked out.,0.875,0.375,1.0
retold,3,1,I thought that maybe the prescription had changed in my glasses and this was causing my headaches.,0.25,0.25,0.5
retold,3,2,I told the nurse at the office about my headaches and she ran all of the regular tests and checked for glaucoma.,0.5,0.25,0.75
retold,3,3,My eyes were healthy and they didn't find anything that should be causing the headaches.,0.375,0.375,0.5
retold,3,4,"As soon as the doctor came in to see me, he took one look at my misaligned eyes and told me that I could have surgery to get my eyes lined up properly.",0.875,0.125,0.875
retold,3,5,He spent the rest of the time giving me information about the surgery and then asked if I was interested.,0.5,0.5,0.75
retold,3,6,I told him that I was and his office referred me to an eye surgeon the next day.,0.25,0.625,0.75
